iter	Passed	Remaining
697	2376	2730
698	2381	2728
699	2387	2728
700	2391	2726
701	2397	2725
702	2403	2724
703	2410	2725
704	2416	2725
705	2421	2723
706	2426	2721
707	2431	2720
708	2438	2720
709	2444	2719
710	2447	2715
711	2451	2713
712	2458	2713
713	2461	2710
714	2465	2706
715	2467	2702
716	2478	2706
717	2481	2703
718	2490	2705
719	2495	2703
720	2497	2698
721	2499	2693
722	2501	2688
723	2503	2683
724	2505	2678
725	2507	2673
726	2508	2667
727	2510	2662
728	2513	2657
729	2515	2652
730	2517	2647
731	2522	2646
732	2523	2640
733	2530	2640
734	2531	2635
735	2533	2630
736	2535	2625
737	2537	2620
738	2541	2617
739	2544	2612
740	2545	2607
741	2548	2603
742	2549	2597
743	2551	2592
744	2554	2588
745	2555	2583
746	2557	2577
747	2559	2572
748	2561	2567
749	2563	2563
750	2565	2558
751	2566	2553
752	2568	2548
753	2570	2543
754	2572	2538
755	2575	2534
756	2576	2529
757	2582	2527
758	2586	2525
759	2589	2521
760	2592	2517
761	2593	2512
762	2595	2507
763	2597	2502
764	2599	2497
765	2601	2492
766	2602	2487
767	2604	2482
768	2609	2480
769	2611	2475
770	2612	2470
771	2615	2465
772	2617	2461
773	2618	2456
774	2620	2451
775	2622	2446
776	2628	2446
777	2634	2445
778	2643	2446
779	2646	2442
780	2652	2442
781	2659	2441
782	2667	2442
783	2671	2439
784	2673	2435
785	2676	2431
786	2680	2428
787	2684	2425
788	2693	2427
789	2696	2423
790	2699	2419
791	2704	2417
792	2709	2415
793	2717	2416
794	2724	2416
795	2731	2416
796	2734	2412
797	2744	2414
798	2750	2413
799	2757	2412
800	2764	2412
801	2766	2408
802	2774	2408
803	2781	2407
804	2787	2406
805	2794	2406
806	2800	2404
807	2806	2403
808	2809	2399
809	2810	2394
810	2812	2389
811	2816	2386
812	2818	2381
813	2822	2378
814	2824	2374
815	2828	2370
816	2838	2373
817	2842	2369
818	2846	2366
819	2850	2363
820	2853	2359
821	2854	2354
822	2856	2349
823	2858	2344
824	2860	2340
825	2862	2335
826	2864	2331
827	2875	2333
828	2881	2332
829	2888	2331
830	2890	2327
831	2895	2324
832	2899	2321
833	2903	2318
834	2907	2315
835	2912	2313
836	2916	2309
837	2920	2307
838	2930	2309
839	2936	2307
840	2942	2305
841	2948	2303
842	2952	2301
843	2956	2297
844	2960	2295
845	2965	2292
846	2968	2288
847	2973	2286
848	2979	2284
849	2982	2280
850	2985	2276
851	2990	2274
852	2992	2270
853	2997	2267
854	3001	2264
855	3007	2262
856	3011	2259
857	3016	2257
858	3023	2256
859	3025	2251
860	3028	2247
861	3030	2243
862	3036	2241
863	3041	2238
864	3047	2237
865	3051	2234
866	3055	2230
867	3060	2228
868	3066	2226
869	3069	2222
870	3073	2219
871	3076	2215
872	3080	2212
873	3083	2208
874	3086	2204
875	3091	2202
876	3094	2197
877	3098	2194
878	3101	2191
879	3103	2186
880	3107	2183
881	3110	2179
882	3114	2176
883	3119	2173
884	3122	2169
885	3127	2167
886	3130	2163
887	3131	2158
888	3135	2154
889	3139	2151
890	3143	2148
891	3146	2144
892	3149	2141
893	3155	2139
894	3161	2137
895	3166	2134
896	3169	2130
897	3176	2129
898	3182	2127
899	3185	2123
900	3191	2122
901	3194	2117
902	3199	2115
903	3209	2116
904	3215	2114
905	3221	2112
906	3227	2109
907	3232	2107
908	3235	2103
909	3243	2103
910	3248	2100
911	3250	2095
912	3255	2092
913	3259	2089
914	3262	2086
915	3270	2084
916	3282	2086
917	3289	2085
918	3300	2086
919	3306	2084
920	3309	2080
921	3316	2079
922	3320	2075
923	3325	2072
924	3330	2070
925	3335	2067
926	3338	2063
927	3341	2059
928	3348	2057
929	3353	2055
930	3359	2053
931	3365	2051
932	3368	2047
933	3371	2042
934	3377	2041
935	3381	2037
936	3385	2034
937	3389	2030
938	3393	2027
939	3397	2023
940	3401	2020
941	3405	2017
942	3409	2013
943	3413	2010
944	3416	2006
945	3421	2003
946	3423	1999
947	3426	1994
948	3428	1990
949	3432	1987
950	3435	1983
951	3440	1980
952	3443	1976
953	3447	1973
954	3451	1969
955	3453	1965
956	3458	1962
957	3459	1957
958	3462	1953
959	3464	1948
960	3469	1945
961	3473	1942
962	3477	1939
963	3479	1934
964	3481	1930
965	3486	1927
966	3487	1922
967	3491	1918
968	3494	1914
969	3496	1910
970	3500	1907
971	3505	1903
972	3508	1900
973	3513	1897
974	3516	1893
975	3519	1889
976	3523	1886
977	3526	1882
978	3531	1879
979	3535	1876
980	3538	1872
981	3543	1869
982	3546	1865
983	3551	1862
984	3554	1858
985	3558	1854
986	3562	1851
987	3565	1847
988	3569	1844
989	3571	1839
990	3578	1838
991	3584	1835
992	3587	1831
993	3591	1828
994	3595	1824
995	3604	1823
996	3608	1820
997	3613	1817
998	3618	1814
999	3621	1810
1000	3623	1806
1001	3627	1802
1002	3631	1799
1003	3638	1797
1004	3643	1794
1005	3645	1790
1006	3651	1787
1007	3655	1784
1008	3659	1780
1009	3662	1777
1010	3667	1773
1011	3671	1770
1012	3678	1768
1013	3682	1765
1014	3684	1760
1015	3692	1758
1016	3695	1755
1017	3703	1753
1018	3711	1752
1019	3722	1751
1020	3727	1748
1021	3731	1745
1022	3734	1741
1023	3745	1741
1024	3751	1738
1025	3756	1735
1026	3759	1731
1027	3765	1728
1028	3772	1726
1029	3778	1724
1030	3784	1721
1031	3789	1718
1032	3792	1714
1033	3797	1711
1034	3803	1708
1035	3806	1705
1036	3810	1701
1037	3817	1699
1038	3823	1696
1039	3828	1693
1040	3832	1689
1041	3833	1685
1042	3837	1681
1043	3841	1677
1044	3845	1674
1045	3848	1670
1046	3854	1667
1047	3860	1664
1048	3864	1661
1049	3866	1657
1050	3869	1653
1051	3871	1648
1052	3873	1644
1053	3883	1643
1054	3890	1641
1055	3902	1640
1056	3907	1637
1057	3914	1635
1058	3916	1630
1059	3920	1627
1060	3922	1622
1061	3924	1618
1062	3931	1616
1063	3939	1614
1064	3944	1611
1065	3947	1606
1066	3953	1604
1067	3960	1601
1068	3963	1598
1069	3966	1593
1070	3971	1590
1071	3976	1587
1072	3982	1584
1073	3992	1583
1074	4000	1581
1075	4006	1578
1076	4011	1575
1077	4015	1572
1078	4018	1568
1079	4022	1564
1080	4025	1560
1081	4029	1556
1082	4033	1553
1083	4038	1549
1084	4042	1546
1085	4046	1542
1086	4050	1539
1087	4053	1535
1088	4058	1531
1089	4062	1528
1090	4066	1524
1091	4069	1520
1092	4073	1516
1093	4076	1512
1094	4081	1509
1095	4085	1505
1096	4087	1501
1097	4092	1498
1098	4095	1494
1099	4098	1490
1100	4103	1487
1101	4107	1483
1102	4111	1479
1103	4115	1476
1104	4119	1472
1105	4122	1468
1106	4127	1465
1107	4130	1461
1108	4132	1457
1109	4134	1452
1110	4136	1448
1111	4138	1444
1112	4141	1440
1113	4143	1435
1114	4144	1431
1115	4146	1426
1116	4154	1424
1117	4157	1420
1118	4163	1417
1119	4168	1414
1120	4175	1411
1121	4176	1407
1122	4179	1402
1123	4181	1398
1124	4183	1394
1125	4195	1393
1126	4197	1389
1127	4198	1384
1128	4210	1383
1129	4212	1379
1130	4214	1374
1131	4221	1372
1132	4225	1368
1133	4227	1364
1134	4234	1361
1135	4236	1357
1136	4239	1353
1137	4241	1349
1138	4247	1346
1139	4250	1342
1140	4254	1338
1141	4258	1335
1142	4262	1331
1143	4264	1326
1144	4266	1322
1145	4268	1318
1146	4276	1316
1147	4280	1312
1148	4282	1308
1149	4289	1305
1150	4290	1300
1151	4292	1296
1152	4294	1292
1153	4296	1288
1154	4298	1283
1155	4299	1279
1156	4302	1275
1157	4303	1271
1158	4305	1266
1159	4307	1262
1160	4313	1259
1161	4318	1256
1162	4320	1251
1163	4325	1248
1164	4329	1244
1165	4332	1241
1166	4335	1237
1167	4338	1233
1168	4342	1229
1169	4345	1225
1170	4346	1221
1171	4349	1217
1172	4351	1213
1173	4360	1210
1174	4363	1206
1175	4369	1203
1176	4373	1200
1177	4389	1199
1178	4399	1197
1179	4408	1195
1180	4413	1192
1181	4416	1188
1182	4424	1185
1183	4426	1181
1184	4433	1178
1185	4438	1175
1186	4442	1171
1187	4446	1167
1188	4454	1165
1189	4460	1162
1190	4467	1159
1191	4474	1156
1192	4476	1151
1193	4484	1149
1194	4492	1146
1195	4498	1143
1196	4503	1140
1197	4509	1136
1198	4514	1133
1199	4519	1129
1200	4524	1126
1201	4528	1122
1202	4533	1119
1203	4537	1115
1204	4543	1112
1205	4547	1108
1206	4551	1104
1207	4554	1101
1208	4558	1097
1209	4561	1093
1210	4565	1089
1211	4568	1085
1212	4572	1081
1213	4575	1077
1214	4579	1074
1215	4582	1070
1216	4585	1066
1217	4588	1062
1218	4592	1058
1219	4597	1055
